"자전거번호","대여일시","대여 대여소번호","대여 대여소명","대여거치대","반납일시","반납대여소번호","반납대여소명","반납거치대","이용시간(분)","이용거리(M)","생년","성별","이용자종류","대여대여소ID","반납대여소ID","자전거구분"
"SPB-50419","2025-12-01 00:05:39","00575","대원중고교 입구(대하빌딩)","0","2025-12-01 00:08:21","03510","중곡SK아파트앞","0","2","460.00",\N,\N,"내국인","ST-386","ST-1427","일반자전거"
"SPB-73042","2025-12-01 00:00:59","02903","월계초안아파트 1단지","0","2025-12-01 00:08:26","04011","월계 센트럴 아이파크","0","7","1781.08","1989","M","내국인","ST-2069","ST-2705","일반자전거"
"SPB-63112","2025-12-01 00:02:56","02711","가로공원공영주차장 1번 출구","0","2025-12-01 00:08:28","06171","월드빌딩 앞","0","6","473.71",\N,\N,\N,"ST-2027","ST-3276","일반자전거"
"SPB-67777","2025-12-01 00:04:23","01158","가양역 8번출구","0","2025-12-01 00:08:35","02709","강변아파트 310동 앞","0","4","440.00","1977","M","내국인","ST-1249","ST-2025","일반자전거"
"SPB-67034","2025-12-01 00:01:59","05864","장훈고 앞","0","2025-12-01 00:08:35","05860","어울림병원 앞","0","6","703.36",\N,\N,\N,"ST-3200","ST-3171","일반자전거"
"SPB-60145","2025-12-01 00:01:44","04452","삼성SDS","0","2025-12-01 00:08:35","02608","송파구청","0","6","1020.00","2006","F","내국인","ST-2571","ST-1681","일반자전거"
"SPB-57300","2025-12-01 00:03:32","03581","광진광장","0","2025-12-01 00:08:37","00540","군자역 7번출구 베스트샵 앞","0","5","842.74","1999","M","내국인","ST-2320","ST-253","일반자전거"
"SPB-53756","2025-12-01 00:05:31","02184","구암초등학교 버스정류장","0","2025-12-01 00:08:37","02187","현대시장사거리","0","3","370.00","1995","M","내국인","ST-1702","ST-2371","일반자전거"
"SPB-57451","2025-12-01 00:04:03","01232","잠실주공 521동 건너편","0","2025-12-01 00:08:39","02635","잠실새내역 1번출구","0","4","705.62",\N,\N,\N,"ST-550","ST-1862","일반자전거"
"SPB-63945","2025-12-01 00:04:30","05301","상계주공1단지 버스정류장 옆(대원빌딩 앞)","0","2025-12-01 00:08:41","04026","상계주공1단지아파트","0","4","495.53",\N,\N,\N,"ST-3015","ST-2716","일반자전거"
"SPB-56161","2025-12-01 00:00:30","03698","명일역 3번출구 옆","0","2025-12-01 00:08:41","01051","강일중,선사고 버스정류장(신암중학교 방면)","0","8","1114.98",\N,\N,\N,"ST-3085","ST-1421","일반자전거"
"SPB-54813","2025-12-01 00:03:15","00419","홈플러스 마포점 앞","0","2025-12-01 00:08:42","00438","성산2-1 공영주차장","0","5","766.68","1992","M","내국인","ST-87","ST-1692","일반자전거"
"SPB-44635","2025-12-01 00:03:43","02701","마곡나루역 5번출구 뒤편","0","2025-12-01 00:08:42","01163","방화동강서기동대앞","0","4","1053.37","2001","F","내국인","ST-1718","ST-1254","일반자전거"
"SPB-55415","2025-12-01 00:06:19","00639","서울시립대 후문","0","2025-12-01 00:08:43","00670","삼육서울병원 버스정류장","0","2","453.42",\N,\N,\N,"ST-406","ST-2270","일반자전거"
"SPB-63970","2025-12-01 00:04:04","01461","동양엔파트 앞","0","2025-12-01 00:08:58","01442","중랑구청 중화동 별관 앞","0","4","929.13","1993","M","내국인","ST-2282","ST-1093","일반자전거"
"SPB-71354","2025-12-01 00:00:09","01931","개봉역2번출구 A","0","2025-12-01 00:09:01","00760","잣절보도육교 아래","0","8","1932.17","1997",\N,"내국인","ST-920","ST-1501","일반자전거"
"SPB-58325","2025-12-01 00:02:17","03009","홍대입구역 사거리","0","2025-12-01 00:09:09","00104","합정역 1번출구 앞","0","6","617.18",\N,\N,\N,"ST-2167","ST-6","일반자전거"
"SPB-50415","2025-12-01 00:05:37","01197","엠펠리체 호텔 건너편","0","2025-12-01 00:09:10","02721","등촌1-10단지 교차로","0","3","461.51","1993","F","내국인","ST-1714","ST-2037","일반자전거"
"SPB-57123","2025-12-01 00:06:10","02173","당곡사거리","0","2025-12-01 00:09:12","04179","보라매병원역 1번출구","0","3","364.34","1991","M","내국인","ST-1268","ST-3105","일반자전거"
"SPB-65534","2025-12-01 00:04:19","01991","오류동역 맞은편","0","2025-12-01 00:09:15","01967","참새공원(백곡경노당)","0","4","1120.31","1999",\N,"내국인","ST-1526","ST-1229","일반자전거"
"SPB-45032","2025-12-01 00:04:17","01191","마곡역 버스정류장(마곡나루역1번출구, 웰튼병원 방면)","0","2025-12-01 00:09:17","02739","수명산파크1단지교차로","0","5","728.57","1995","M","내국인","ST-1689","ST-2056","일반자전거"
"SPB-54485","2025-12-01 00:01:05","01337","돈암성당 옆","0","2025-12-01 00:09:27","01363","보문4교 인근","0","8","830.00","1995","M","내국인","ST-1201","ST-1455","일반자전거"
"SPB-47800","2025-12-01 00:03:28","01471","동양쇼핑 정류소 앞","0","2025-12-01 00:09:31","01472","영성빌딩(PAT)","0","6","1254.86",\N,\N,"내국인","ST-2292","ST-2293","일반자전거"
"SPB-46566","2025-12-01 00:06:10","00437","대흥역 1번출구","0","2025-12-01 00:09:35","05509","신석초교 앞","0","3","447.88","1967","M","내국인","ST-1691","ST-3408","일반자전거"
"SPB-63421","2025-12-01 00:06:10","02917","신창중학교 후문 맞은편 버스정류장","0","2025-12-01 00:09:36","05309","월계 롯데캐슬아파트 뒤","0","3","430.88","1978","F","내국인","ST-2083","ST-3101","일반자전거"
"SPB-71858","2025-12-01 00:07:01","04264","홍남교 버스정류장","0","2025-12-01 00:09:37","03125","연희파크푸르지오아파트 앞","0","2","141.88","1975","M","내국인","ST-3033","ST-2210","일반자전거"
"SPB-36960","2025-12-01 00:05:36","00433","을지로입구역 2번출구","0","2025-12-01 00:09:43","00385","종각역 5번출구","0","4","364.28",\N,\N,\N,"ST-1668","ST-336","일반자전거"
"SPB-64618","2025-12-01 00:00:02","01264","천호역 10번 출구 앞","0","2025-12-01 00:09:46","04457","아산병원 기숙사 부근","0","9","1822.13","1997","M","내국인","ST-1083","ST-2574","일반자전거"
"SPB-45190","2025-12-01 00:02:59","00230","영등포구청역 7번출구","0","2025-12-01 00:09:53","04561","양평역 1번출구","0","6","914.20","1991","M","내국인","ST-413","ST-2812","일반자전거"
"SPB-65321","2025-12-01 00:00:03","00431","청계천 영도교","0","2025-12-01 00:09:58","00380","CJ제일제당 앞","0","9","1878.46","2003","F","내국인","ST-1440","ST-195","일반자전거"
"SPB-61911","2025-12-01 00:00:51","04804","동서울농협 앞","0","2025-12-01 00:10:00","01451","중랑세무서","0","9","1440.00","1993",\N,"내국인","ST-2630","ST-1334","일반자전거"
"SPB-44105","2025-12-01 00:03:54","04113","한국국방연구원 앞","0","2025-12-01 00:10:02","00667","청량차도 육교 밑","0","6","779.81","1982","M","내국인","ST-2504","ST-2267","일반자전거"
"SPB-71721","2025-12-01 00:08:09","05778","북위례3","0","2025-12-01 00:10:04","05766","북위례1","0","1","350.52","2000","M","내국인","ST-3273","ST-3190","일반자전거"
"SPB-59464","2025-12-01 00:02:20","00424","롯데하이마트 (상암월드컵점)","0","2025-12-01 00:10:06","03002","벽산상암스마트큐브","0","7","1280.00","2001","M","내국인","ST-990","ST-2160","일반자전거"
"SPB-48922","2025-12-01 00:01:18","04007","노원 을지대학교 병원","0","2025-12-01 00:10:06","01669","중계역 3번출구","0","8","1070.00","2005","M","내국인","ST-2702","ST-1286","일반자전거"
"SPB-42338","2025-12-01 00:05:00","03692","둔촌오륜역 1번 출구","0","2025-12-01 00:10:08","01018","둔촌 주공 GS 맞은편","0","5","647.26","1958",\N,"내국인","ST-2929","ST-830","일반자전거"
"SPB-68836","2025-12-01 00:03:17","03426","독립문역 2번출구 뒤","0","2025-12-01 00:10:11","00395","경희궁 자이 2단지","0","6","691.51","2000",\N,"내국인","ST-1823","ST-1374","일반자전거"
"SPB-67784","2025-12-01 00:03:10","03548","뚝섬역 6번출구","0","2025-12-01 00:10:13","00561","서울숲역 2번출구 앞","0","7","1396.78","1963","M","내국인","ST-2330","ST-362","일반자전거"
"SPB-59209","2025-12-01 00:07:28","01112","마곡엠밸리4단지 정문","0","2025-12-01 00:10:16","01163","방화동강서기동대앞","0","2","589.52","2005","M","내국인","ST-513","ST-1254","일반자전거"
"SPB-60826","2025-12-01 00:03:09","01086","래미안 솔베뉴(구천면로)","0","2025-12-01 00:10:29","03652","한영외국어고등학교","0","7","1310.00","2000",\N,"내국인","ST-1846","ST-2424","일반자전거"
"SPB-61737","2025-12-01 00:05:05","00765","오목교역 3번출구","0","2025-12-01 00:10:30","04561","양평역 1번출구","0","5","1460.00","1995",\N,"내국인","ST-1731","ST-2812","일반자전거"
"SPB-71446","2025-12-01 00:04:48","00770","목동역5번출구","0","2025-12-01 00:10:30","04509","서울영상고교 입구","0","5","749.20",\N,\N,\N,"ST-1996","ST-2761","일반자전거"
"SPB-71323","2025-12-01 00:03:45","02174","삼성디지털프라자관악점","0","2025-12-01 00:10:35","02015","신대방삼거리역 6번출구쪽","0","6","142.03",\N,\N,\N,"ST-1269","ST-728","일반자전거"
